text	user_id	news_id	cluster
Thoughts and prayers. Wish you were married to someone else so their would be joy, happiness and peace in ur life.	249843693	politifact15401	2
We wish her a speedy and complete recovery.	489320147	politifact15401	0
Wishing the First Lady a speedy recovery.  	2829000901	politifact15401	0
Wish her well.  Her health transcends politics	750159345606950913	politifact15401	0
Our thoughts and prayers go out to First Lady Melania Trump, Senator John McCain, and their staff and families.	62423890	politifact15401	0
Wishing Mrs. Trump a speedy recovery. May she heal quickly.	816680242723098624	politifact15401	0
May be Botts. Just ignore these comment's. I learned from the daily attacks due to my support for Hilary.  Regardless of Donald Trump I would not attack his family.	838541077732855808	politifact15401	0
Get well soon Melania!	2290739526	politifact15401	2
Next she is going to visit her attorney to have the ugly wart removed from her side.	532636554	politifact15401	0
Praying for a good outcome and full recovery.	614061319	politifact15401	0
Be Rest.	812569	politifact15401	0
Pretty drastic measure to get a break from her husband	2908338711	politifact15401	1
Get well Melania	137490686	politifact15401	1
I thought government run health care was terrible?	805520319800688640	politifact15401	2
Be Best soon.	4384739914	politifact15401	2
Gonna guess dipshit won't be bedside with her, especially after not even mentioning her in his Mother's Day video yesterday.	34291736	politifact15401	2
CNN will have a special report on the type of shoes Melania was wearing to the hospital.	491272386	politifact15401	0
If it was benign why wait until after the surgery to tell the public	30721206	politifact15401	2
Everybody should pray for her	444609317	politifact15401	1
#PrayForMelania	170460968	politifact15401	2
Best Warmest wishes, hope she recovers very veery soon :) <3 We are all sending warm thoughts :) <3	915483798015537152	politifact15401	2
Her husband was not present...	760594856230215680	politifact15401	0
You people make me sick to my stomach your not even a news media anymore your nothing but a bunch of historical wastes of TV time.	826161960513318916	politifact15401	0
Probably a Face lift!	434969717	politifact15401	1
She must have good insurance.	276499712	politifact15401	2
So maybe it's just me but with Trump saying he's the healthiest man ever to live, what if it's him in the hospital? An outpatient procedure one week in the hospital. Trump didn't go to Israel to get all the praise? Unveil his plaque, just sayin	46431733	politifact15401	0
#Processing	936878499532488704	politifact15401	1
She probably wants to stay in the hospital to not be around dumpster!	868913240557973505	politifact15401	2
I hope & pray that she recovers quickly and that all goes well.  I am not a Trump supporter, but I believe the First Lady does her very best in a very difficult situation.	798861470293487616	politifact15401	0
Wishing her the best and a fast recovery.	887718292714115073	politifact15401	0
Praying for healing blessings to the First Lady!!!!	25800620	politifact15401	0
No one seems to consider that her disappearance from the limelight coincides with the escalation of recent events. Iran Deal, US Embassy move, China's ZTE that broke sanctions the US had against Iran and N. Korea, Russia, Stormy, Cohen, etc. etc. etc...	928223484	politifact15401	0
Get well soon	1271169792	politifact15401	2
I hope u have a fast recovery, FL Melania.	1370819100	politifact15401	0
Sounds serious. Hope she recovers well.	821016767203901440	politifact15401	0
I pray she gets well very soon.	234894998	politifact15401	2
I wish you fast recovery and good health. Good luck.	986709880970018816	politifact15401	0
Hope u get well soon our prays with u I think u r wonderful women wrong husband	3409365351	politifact15401	0
"The ""tolerant"" left spewing venom in the comment section. Color me shocked."	831100454629208064	politifact15401	2
Did she have OBAMA CARE? 	880550524621291520	politifact15401	0
Get well quickly, Melania.	2462413114	politifact15401	0
ITS GOOD SHE HAS GOOD HEALTH CARE THAT TRAITOR TRUMP WANTS TO TAKE AWAY FROM MILLIONS OF PEOPLE.!!	2379518203	politifact15401	0
Naturally Trump was too busy to be there for the surgery. A real inspiration and a example of a good husband. What a douche.	949351444142084096	politifact15401	2
Get well soon Mrs. Trump	59542482	politifact15401	0
Have a speedy recovery!	964621360835129344	politifact15401	0
Meanwhile Trump leaves her alone on mothers day ; the day of her surgery. What a jewel!	567552431	politifact15401	0
Get well soon!	744229423801602049	politifact15401	2
If you don't have anything nice to say, don't say anything at all. Some people need to learn that. I can't stand trump or his administration but I wish her a speedy recovery.	1711087094	politifact15401	0
And the buffoon golfs	861691182	politifact15401	2
Interventional Radiologist here, Melania Trump most likely had embolization of an AML (angiomyolipoma) which is prone to bleeding if it gets large enough.  Fibroids are in the uterus almost exclusively and cysts would not be embolized.	24073763	politifact15401	2
Get well soon!	19085676	politifact15401	2
What would you rather do?	918673637925732352	politifact15401	0
May her recovery be a complete and swift one.	32494050	politifact15401	0
Another foreigner receiving free medical care. Build the wall. Close off the country.	3399612315	politifact15401	0
That's a long time	2317372791	politifact15401	1
Get some rest Melania. Best Wishes for a speedy recovery.	1325223194	politifact15401	0
She'll be alright. She gets free healthcare, unlike the general public.	3288098659	politifact15401	0
WTF Trump isn't even there with her? Man thats fucking cold.	2362915794	politifact15401	0
I wish Melania Trump good health & a quick recovery, while simultaneously being unable to adequately describe my detestation of her twisted, evil husband who has just had 50 people murdered in Gaza.	995201907357446145	politifact15401	0
That is not good news for her.  I hope she will be O.K.	179747809	politifact15401	2
I wish her a speedy recovery.	33591052	politifact15401	2
Wish her a speedy recovery!	16117929	politifact15401	2
So is her husband there by her side 	16315009	politifact15401	2
Shit backed up huh?	780178945014571008	politifact15401	0
Wishing FLOTUS a speedy recovery.	352112068	politifact15401	0
He caused her that	3438067744	politifact15401	1
Hope it goes well for her. She has enough to deal with & Baron needs her. Speedy & complete recovery!	928015137923043329	politifact15401	0
If she had the procedure they announced, kidney embolization, it is not actually categorized as a surgery and is more often than not done on an outpatient basis unless there are complications. Most patients go home same day or day after.	874827085285642240	politifact15401	2
Wish her well...will her husband visit her?	843652852060950528	politifact15401	0
Maybe they will give her some anti-depressants to take home with her.	2987578792	politifact15401	2
God bless	820321037984350208	politifact15401	1
I wish her well. She is beautiful inside and out.	459492442	politifact15401	0
Hypothetically is there a possibility that maybe she went in for a tummy tuck or something and is saying it's her kidneys we could be paying for her lift just a thought	798088023829159937	politifact15401	1
Which lucky nurse got to do her domestic violence screen?	153124576	politifact15401	2
Face lift instead, the other is a lie! Runs in the Trumps family!	434969717	politifact15401	0
Get well soon.	425003470	politifact15401	0
Prayers to a beautiful lady	76250701	politifact15401	2
My prayers are with you Mrs. Trump. Stay strong, we are with you!	37081785	politifact15401	0
The truth lies within Melania. Her body is proof! Poison causes kidney malfunction!	832808308595515393	politifact15401	0
Wonder if they are keeping her there for a few extra days to check for a broken heart......	48664161	politifact15401	0
I apologize for my inconsiderate tweet about Mel's health. It was ugly and i am embarassed to have made such a remark about another human being, much more, another sister! Godspeed, Melania!	832808308595515393	politifact15401	0
Praying for The First Lady and Baron.	823928190456463360	politifact15401	0
Or as she calls it - vacation	1298759245	politifact15401	2
I'm like who cares?I sure as hell don't.Send her back to Slovenia	1141834766	politifact15401	2
DO NOT CARE. We are probably paying for THIS IMMIGRANTS HEALTHCARE	23529994	politifact15401	0
Not surprised	38700230	politifact15401	1
The stress from her husband is the prime reason for her health issues.	3331938913	politifact15401	2
Get well beautiful	2317606894	politifact15401	2
Our prayers are with you Melania	983700435486769152	politifact15401	1
Prayers Up	989572137554935808	politifact15401	2
Sending Prayers	866387850710876160	politifact15401	2
She must be glad to have good healthcare	825602062985547776	politifact15401	1
Get Well Soon	2772078362	politifact15401	2
Wish the golddigger well. She is still the most sympathetic of the Trumps. Most likely due to genes.	881720056731848704	politifact15401	0
Get well soon, our country needs you!!!	879417926637441024	politifact15401	0
And, no husband...	469161155	politifact15401	0
WITCH!	984698448745136131	politifact15401	2
SHE LOOKS LIKE A DEMON!	984698448745136131	politifact15401	1
Yr husband is a demon , I pray u, get well soon.	801043967030726660	politifact15401	0
Get well soon, PRAYING AND PRAYERS TO YOU, GOD BLESS MELANIA	833481408886693890	politifact15401	2
The jokes about immigrants and their access to healthcare will write themselves today.	17849424	politifact15401	0
You are a very strong woman and will be back very soon. My prayers are with you.	113472824	politifact15401	0
Suctioning a bit of cosmetically unappealing fat from around the kidney zone..	27583082	politifact15401	2
I get gratification in knowing your next 6 years will be miserable, cuck.	4294284857	politifact15401	0
Completely inappropriate.  Are you this heartless in your daily life?	752999983872376832	politifact15401	2
Thats fresh. Its a surgery. Wish her well.	21983078	politifact15401	0
Sick	756510757831970816	politifact15401	1
My God does he weigh that much? That all those McDonald's cheeseburgers	59542482	politifact15401	2
If this were Michelle Obama,  Would your comment be the same?	815689849571151872	politifact15401	0
Michelle didn't ingest Botox for decades. So NO!	864552020136656897	politifact15401	0
You can't compare an angel to the devil .	1339854948	politifact15401	2
No, because Obama was in really good shape, and they had a REAL Loving marriage. the trumps do not even touch each other, have no real affection, much less love. Melania sold herself to a rich dirty old man. PERIOD.	243459994	politifact15401	0
How can anybody say anything negative about Michelle	743262323339468801	politifact15401	1
Of course not!  Don't even compare this illegal alien to our lovely real First Lady.  OMG!	901993965607567360	politifact15401	2
No in that case it would be a 180 pound of loveliness she would want to keep around forever.	785609157021872129	politifact15401	2
How can you even compare them? Michele Obama had a real, respectful, loving husband.	31336207	politifact15401	0
No, but I bet your comment would be much much worse.	32519088	politifact15401	2
Zap!!! Lol  jerk wads	935857616374435845	politifact15401	2
Truth	965576357978693632	politifact15401	1
Which shows that everyone has a side. Right and left these days. We can't just come together and wish a human being a good recovery	793260312401219584	politifact15401	2
Sick burn	958172393914040322	politifact15401	1
Amen to that	1897868017	politifact15401	2
You mean like the one on your face or your micro penis? 	18852713	politifact15401	2
"""340 pound"" micropenis"	909440311763578880	politifact15401	2
Reports that her family is at the WH. What kind of ppl are not with their loved ones at the hospital? Very odd family dynamics.	279038942	politifact15401	2
Helloooooo	48664161	politifact15401	2
Beyond belief.	235786671	politifact15401	0
No one's business but theirs.	756510757831970816	politifact15401	2
The kind of people that require a massive security detail and logistics planning whenever they leave the White House.	821320459300044800	politifact15401	2
But her son + her parents? I agree I wouldn't want him near me especially if I was trying to heal + get well.	279038942	politifact15401	2
Yeah let's shove the most heavily secured family in the world into a car and bring them to a hospital to disrupt the entire building where people's lives are on the line. You can't just bring the president places, you have to prepare the location and bring the motorcade	826716752314785792	politifact15401	2
lol   I can totally see that. no one would want to wake up and look at that face, probably have a total relapse.	984979108902948865	politifact15401	2
Lmaoooo I'm dead	3281613043	politifact15401	2
Especially CNN they have a way of distorting the truth like nobody else	984979108902948865	politifact15401	1
What about her parents + son. The thought of her being alone is very sad. They are all cold nasty animals. PS I didn't single out Trump you did.	279038942	politifact15401	2
Cold nasty animals?  Really?  That sounds more like what you have trapped on your back. Great pic. LOL	3225287206	politifact15401	0
Come on girl ! You are so concern  for Melania that she is not getting the care & love she needs ? Is that what you want us to believe?  You must think,you are so smart .  LOL	2188436323	politifact15401	0
There is no love in the Trump family except for The Special Love Between Ivanka And Daddy	823334719022632961	politifact15401	2
Oh please. You people define disgusting. GFY	831151545383256064	politifact15401	0
"""you people""?"	1323401149	politifact15401	2
The left is really showing their misogynistic colors. Projecting misogyny, racism, fascism, etc... is failing!	958499531271925760	politifact15401	0
Make China Great Again. It's the new magat slogan.	831151545383256064	politifact15401	0
Shari, you rock!	824453205400686594	politifact15401	2
You only have to read WRGA's nasty comments about dead children, the McCain remark, choking black teenagers to understand he embodies right-wing ethos right down to the hypocrisy.	707699580	politifact15401	0
Lol wow you sumed up.the demoncrats very well.	961748472948019200	politifact15401	0
Nice to know Trump spent the day before her surgery playing golf	40444923	politifact15401	0
Hey. He gave her an hour.  (Probably more than she wanted)	48664161	politifact15401	2
Then tweeted she's doing great!	832808308595515393	politifact15401	2
Bigots. Self absorbed bigotry.	887263798251458560	politifact15401	0
Pathetic	756510757831970816	politifact15401	1
I agree. I would hate being screamed at the day before I checked into the hospital.	2243331002	politifact15401	1
Mind your own business troll	18852713	politifact15401	2
Wow	832807736207409152	politifact15401	1
If this were Michelle Obama,  Would your comment be the same?	815689849571151872	politifact15401	0
He's probably got a new fixer setting up a sleep over	32657538	politifact15401	1
It's an emergency surgery fuck head	961748472948019200	politifact15401	1
Be Best	40444923	politifact15401	2
And what would you have considered appropriate?	1924753776	politifact15401	2
being there for his wife maybe ? i dont know just a thought. #commondecency	971821103860600832	politifact15401	2
Being with his wife.	927964577421254658	politifact15401	0
Not playing golf	40895734	politifact15401	0
And being by her side.	778260944598237186	politifact15401	0
Haaaaaahahaha	3268699777	politifact15401	0
lol 	346057696	politifact15401	1
"You feel bad for my wife?  You must by passing judgment on this  based on all your intimate knowledge of my situation. 

All that was asked was what that person would have considered an appropriate action. 

Typical..."	1924753776	politifact15401	0
IDK, actually spending time with someone he supposedly cares about before she undergoes a procedure she could die from and, even if all goes well, is going to have her cooped up in the hospital for a few days?  Kind of the bare minimum.	832317751800705024	politifact15401	2
I bet it was one of her happiest Mother's Day.  See? Even a piece of crap can occasionally treat its spouse well by just leaving him/her alone.	2243331002	politifact15401	2
Hahaha you are so clever and witty!	17451428	politifact15401	0
Keep him away from her IV.	2243331002	politifact15401	0
Lucky for her she has taxpayer funded Healthcare, unlike the rest of us.	785289018757873664	politifact15401	2
They don't need your money.	756510757831970816	politifact15401	2
You can thank the Democrats for that. They made sure to exempt themselves from Obama Care. You know, because its so great.	899369102472429568	politifact15401	0
well you could have had free health care but you all freaked out , because you cant think for yourselves  and believe the bullshit of the media.	2476715912	politifact15401	0
"She had thee best medical insurance LONG before becoming FLOTUS & she would NOT have given it up to get ""taxpayer funded Healthcare"", they r treated there because it's a SECURE site. BTW, she IS of the top 1% who pays nearly 50% of ALL taxes..fool!"	714937441816326146	politifact15401	0
 yeah sure	785289018757873664	politifact15401	1
Umm YEAH, FACT u uninformed lib.. WTH is wrong with u people.. you know nothing!	714937441816326146	politifact15401	2
Your a sad person	760114803033509889	politifact15401	2
Trump is your hero. He is capable of anything for money.  Freddie Jr. was the apple of his dads eye. Don screwed his family. Like he is screwing America.	874457221014466562	politifact15401	0
Actually Stanley I am not a sad person. The sad people are those that believe in the big orange lie	785289018757873664	politifact15401	0
Feel free to copy! 	786681805659340800	politifact15401	2
Sorry for the grammatical error I was under the impression people made them on Twitter	760114803033509889	politifact15401	1
"you're (or as you'd say: your) right! because many americans have any right to be sad, because they HAVEN'T tax funded healthcare. 
VERY well done! you have reached the required standard. or should i say ""standard""?"	346057696	politifact15401	0
I have job funded healthcare. Where my employer pays a portion and I pay a portion. Maybe they should try the job thing out	857081568	politifact15401	0
Facts Brandy, Obama is not a terrorist.  Try looking up the amount of $$ spent on the Trumps vacations, travel, golf.  They are charging the American people for it all, the amount will surpass in 4 years what was spent on Obama in 8.	785289018757873664	politifact15401	2
"Facts, Itza, Trump has travelled to properties that he personally owns, thereby greatly cutting the expenses incurred. Obama had a complete disregard to American taxpayers when it came to how much he vacationed. 

Opinion... Obama is not only a terrorist, he's a racist terrorist."	509720973	politifact15401	0
If this were Michelle Obama,  Would your comment be the same?	815689849571151872	politifact15401	0
If history is anything to go by, she will believe she's entitled to it.	88374824	politifact15401	2
Embolism procedures are usually a 24 Hour stay.  Hope she recovers well	889993689925287936	politifact15401	0
medical care her husband & the GOP congress work so hard to remove from the average American.	714431836357804032	politifact15401	0
Why I hope she realizes it.	19085357	politifact15401	2
 The Trumps don't need health care when they can pay out of pocket  . Anyways she's our 1st lady so she deserves the best care possible regardless!	747997444080689152	politifact15401	0
Insurance companies controlthe number of days patients are allowed to be an inpatient.  My husbands bypass surgery? 3 Days.  Then no home care at home.	889993689925287936	politifact15401	0
Just a simple procedure to increase her urine stream as Donald demanded.	2334282788	politifact15401	2
This is funny, and I really am disgusted with myself for laughing, but then there is the McCain abuse by DT.	3201025997	politifact15401	0
 that's exactly what I was thinking	3296914364	politifact15401	1
OMG thats so inappropriate. I LOVE IT!	2362915794	politifact15401	0
Thanks to you, I got to experience what its like to vomit while laughing.	829542087473311748	politifact15401	0
#EPIC	3231186464	politifact15401	1
omg!!!!!!!!!!!!!!!!!!!!!!!!!!!!!	379929035	politifact15401	2
Yes God help u	940611198139105280	politifact15401	2
me too! This was bad ... 	2493054141	politifact15401	0
On the bulletin board in the Urology Dept: #PeeBest	822215871972208642	politifact15401	0
awww, poor thing.....so triggered.......	2334282788	politifact15401	0
"poor triggered snowflake

grow a thicker skin Trumpkin....after the last 8 years you better get comfortable, we're just getting started"	2334282788	politifact15401	0
They are so delicate.	27701815	politifact15401	0
I think you want to shake more than his hand!	18852713	politifact15401	1
uh oh, someone's triggered 	2334282788	politifact15401	1
You are sick!	2188436323	politifact15401	2
get a life	2334282788	politifact15401	2
Because he could not care less.for her.	26028634	politifact15401	2
Pobre mujer.	1042676112	politifact15401	0
Lucia , go wash dishes	743262323339468801	politifact15401	0
She most likely did not want him there.  She has been living with her parents in Maryland for the most part. Having Trump around would just make the hospital experience worse.  There is no love there.	46635383	politifact15401	2
"Good point.
She would appreciate his absence while recuperating."	26028634	politifact15401	2
Maybe he was out trying to BE BEST!	934850497265090560	politifact15401	1
Le vale madre.	858322909718249474	politifact15401	2
Menos que madre.	26028634	politifact15401	0
"Wish her well...Watch on YouTube any of the David Cay Johnston author of ""The Making of Donald Trump"" talks or interviews, Johnston a Pulitzer prize winner investigative reporter, calls #Trump the most successful criminal in U.S. history."	843319285720137728	politifact15401	0
Melania is a victim of domestic abuse, even if she denies it from her husband, she is rated/graded on Trumps actions and tweets and all that. I would buy 10 of her books after being First Lady!	832808308595515393	politifact15401	2
I concur... Hope this presidency is his last scam.	3101579572	politifact15401	0
You have zero proof of what you're writing but the whole world knows who Trump is and not giving him a pass. 	3101579572	politifact15401	0
You need to look up on You Tube Bill Maher bit comparing the Trump WH with the MOB funny but so true.	843319285720137728	politifact15401	2
I had to share it.	965576357978693632	politifact15401	0
Anything u agree with is so true. Get a minimum wage job. Will it be ur first? Genius	743262323339468801	politifact15401	2
Really I surely Trump the most successful Criminal, I think  the Clinton family got him beat hands down maybe Trump will take some lessons, just to make the Liberals and Democrats happy Jesus Christ all mighty, gives a liberal some common sense.	823683057278337024	politifact15401	0
Always talking about liberals and Democrats, and the Clintons.   There has my ever been a more ignorant, corrupt, ill-informed, narcissistic person to occupy the Oval office ever.   But u can't handle that truth, so deflect.	918203364046864384	politifact15401	0
Is this English or a really bad translation from Russian?	786681805659340800	politifact15401	0
I hope Trump isn't trying to poison her. He has gotten away with everything. I wouldn't put it above him to try to trade up during his presidency.	90544356	politifact15401	2
Sick	756510757831970816	politifact15401	1
If this were Michelle Obama,  Would your comment be the same?	815689849571151872	politifact15401	0
Bot	785849244229963776	politifact15401	1
If it was Michelle Obama Barrack would cancel Christmas to be with her. If Melania had cancer Trump would of pulled a Newt Gingriech!	90544356	politifact15401	2
I'm sorry, but your tweet didn't translate to English. Try again bot.	3366152343	politifact15401	2
If Michelle went into the hospital on Dec. 24th, Barack would cancel Christmas to be with her.	704284586843500544	politifact15401	2
So true	935857616374435845	politifact15401	1
Ok but she could take back the birtherism tv spots.	803700222186684416	politifact15401	2
Agree,if it was he in the hospital instead of her,my prayers wouldn't b for him,but someone that truly deserves them.	342893331	politifact15401	2
No one does.  He's toxic to all whom he contacts in person.	867834921766842370	politifact15401	2
"These comments are so pitiful, yet so predictable. 

The sad thing is this: We've come to EXPECT liberals to act like feral animals. Anything different is a surprise."	899774316316962816	politifact15401	0
This comment would have really hit home if the white house had shown any sympathy to Senator McCain. A Republican candidate, battling cancer.	827220080547225600	politifact15401	2
And they've come to expect that conservatives excuse adultery on the daily basis and they don't seem to apologize joking about a man with cancer....you know its true	1936745762	politifact15401	0
Jog on.	53876198	politifact15401	0
Thoughts and prayers for your hurt feelings Hustle.	379004081	politifact15401	2
It just kinda makes you look bad, ya know?	899774316316962816	politifact15401	0
Really?	924992444533526528	politifact15401	2
Funny that you attribute a stupid WH staffer comment to a whole group of people. Quite different from the comment section on this thread.	930439500806983682	politifact15401	0
Jesus people what is wrong with some of you. I hope it's nothing serious and she has a speedy recovery.	355728751	politifact15401	0
Me too. She is fine. Trump is the a hole	785609157021872129	politifact15401	2
Like mc Cain?	26832383	politifact15401	2
What do you expect from CNN lovers?	756510757831970816	politifact15401	2
According to medicine, a renal embolization for a benign condition is nothing serious. According to the WH, it's nothing serious. Do you believe the WH?	820147408457830400	politifact15401	0
she is hospitalized like thousands of other Americans every day with less resources,  much less,  and top notch care.  We can laugh at her,  she will be fine.  Remember she holds some of the same views as her husband's.	934850497265090560	politifact15401	0
Are you an actual person ?	355728751	politifact15401	2
In the flesh!   why do you ask?	934850497265090560	politifact15401	2
Indeed	253647516	politifact15401	1
"these are your viewers. CNN..Makes you proud right
.Bunch of hipocrites"	737403978	politifact15401	0
Have u read comments under any Fox News report?	2906437913	politifact15401	0
"It's ""hypocrites""...there I fixed it for you."	2953244289	politifact15401	2
What are you, the kettle or the pot?	3101579572	politifact15401	0
I think the pot.	967211030093926401	politifact15401	2
All on the taxpayers dime. WINNING!	286839943	politifact15401	0
"They do plastic surgery at Walter Reed?? Yeah right this is ""kidney"" surgery. It's lipo walking around looking like Micheal time trumpkins. Y'all footing this bill."	44714333	politifact15401	0
All These trumpkin Russian installed bots have been reported to the police. I always win.	44714333	politifact15401	0
Just what I was thinking. A week? Minor surgery?	987105606510235651	politifact15401	0
All that craft beer you are drinking is eating away your brain....STOP	1933857830	politifact15401	0
"Fingers crossed that the surgeons ""be best""."	259436531	politifact15401	2
Why are we talking about the way a person looks?? That's what's wrong with the world today.	826170668903493634	politifact15401	2
True. I'm shocked, she's so young. I think this is why she's always serious and doesn't smiles. What happened there? 	3101579572	politifact15401	0
No hun that's too much botox.	26832383	politifact15401	2
She isn't that young. She's 48.	88374824	politifact15401	0
Tumor on kidney.	818050469734088705	politifact15401	0
Yeah she is so young. No idea what happened. We Just have to cross fingers for her...	39232248	politifact15401	0
Botox	823334719022632961	politifact15401	2
Botox going wrong?	3101579572	politifact15401	0
Who's here just to read the comments? 	3101579572	politifact15401	2
Me too	3219814748	politifact15401	1
"He probably did not want to cause a security nightmare at the hospital...
So yeah, that was pretty nice of him."	821320459300044800	politifact15401	2
But I thought he never works?..	21381332	politifact15401	0
Remaining in the White House and working in the White House are two totally different things.	63454290	politifact15401	2
Which I'm sure you know with first hand information. Haha	21381332	politifact15401	0
Why was her husband NOT by her side!! WTF kind of marriage is that! NO CLASS OR EMPATHY!!	55867524	politifact15401	2
The man's got cheeseburgers to eat, tweets to send & TV to watch. He's a very busy man	940731926712905728	politifact15401	0
I truly wish Melania would heal rapidly and leave the real tumor of our society.	3201025997	politifact15401	2
Embolization with planned recovery for the remainder of the week in the hospital.	57708120	politifact15401	0
"Some basic info about embolization in lay terms:
(note that most people only plan to stay overnight)"	57708120	politifact15401	0
Living with P. Trump can be bad for your organs.	992107028985319425	politifact15401	0
Especially her reproductive ones. Can u spell STD?	940731926712905728	politifact15401	2
Does she have coverage?	25541803	politifact15401	2
Yes and so do I	935889709435408385	politifact15401	2
Hilarious to see the same libtards who were slamming the McCain gaffe the other day, now wishing death upon our First Lady. Hypocrisy!	930439500806983682	politifact15401	0
No one wished her death. Grow up.	736997380940259330	politifact15401	0
Oh goody. Great time to indulge a porn star or model.	763499697122189312	politifact15401	0
I was thinking the same thing. I feel bad about it but it was in a private meeting.	1965182156	politifact15401	2
Most people who have surgery go home the very next day!  I wonder if there may be more to the story that we are not being made privy too?	2243886992	politifact15401	2
Yes, she has excellent insurance and can afford to stay and recover properly.  Anyone else would be thrown out the next day! That said, I wish her well.	4035280701	politifact15401	0
It could be the ducts that feed the enzymes to make the stomach acid. They produced in the kidneys. Or it could be a simple lithotripsy (kidney stones)	3313530159	politifact15401	0
Praying for her speedy recovery mentally & physically.	886258860633280513	politifact15401	0
She has something else going on. My insurance wouldn't allow me to stay in the hospital for more than 2 to 3 days. I suspect the other days are a mental health break.	886258860633280513	politifact15401	2
It could be true, if it is, I wish her well. Can't help but think it may be more plastic surgery of some kind. A House of Lies can't expect all to believe, that is not a left thing, it is a true, honest, fact. Some may have to look up the definition of 3 those words.	211132138	politifact15401	0
I'm thinking it's a breakdown.	30505028	politifact15401	2
Interesting.	18080307	politifact15401	0
i think americans should have the same health insurance as she has.	802858010460753921	politifact15401	0
She's the 1st lady, she deserves the best. Anyways they could pay for it out of pocket if they wanted.	747997444080689152	politifact15401	2
